timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,operator,source
2025-03-11T14:50:48,2025-03-11T14:50:00,,,,,,web-post-Python-FastAPI
2025-03-11T14:51:02,2025-03-11T14:50:00,66.0,66.0,66.0,66.0,66,web-post-Python-FastAPI
2025-03-11T14:52:05,2025-03-11T14:52:04,,0.0,0.0,0.0,Clayton Bennett,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,cod_predisinfection_mgPerLiter,operator,source
2025-03-12T10:49:45,2025-03-12T10:00:00,99.0,98.0,88.0,1.5,150.0,CB,local-shell-Python-cmd2
timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,cod_predisinfection_mgPerLiter,operator,source
2025-03-12T10:51:01,2025-03-12T10:50:00,88.0,,,,,,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,cod_predisinfection_mgPerLiter,operator,source
2025-03-12T11:01:04,2025-03-12T11:01:00,,,,,,,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,cod_predisinfection_mgPerLiter,operator,source
2025-03-12T11:01:24,2025-03-12T11:01:00,,,,,,,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,cod_predisinfection_mgPerLiter,operator,source
2025-03-12T11:03:09,2025-03-12T11:03:00,,,,,,,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,cod_predisinfection_mgPerLiter,operator,source
2025-03-12T11:07:11,2025-03-12T11:07:00,,,,,,,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,cod_predisinfection_mgPerLiter,operator,source
2025-03-12T11:08:14,2025-03-12T11:08:00,,,,,,,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,cod_predisinfection_mgPerLiter,operator,source
2025-03-12T11:11:10,2025-03-12T11:08:00,,,,,,,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,cod_predisinfection_mgPerLiter,operator,source
2025-03-12T11:15:36,2025-03-12T11:15:00,,,,,,,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,cod_predisinfection_mgPerLiter,operator,source
2025-03-12T11:16:14,2025-03-12T11:16:00,,,,,,,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,cod_predisinfection_mgPerLiter,operator,source
2025-03-12T11:17:35,2025-03-12T11:17:00,,,,,,,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,cod_predisinfection_mgPerLiter,operator,source
2025-03-12T11:22:00,2025-03-12T11:21:00,,,,,,,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,cod_predisinfection_mgPerLiter,operator,source
2025-03-12T11:22:43,2025-03-12T11:22:00,,,,,,,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,cod_predisinfection_mgPerLiter,operator,source
2025-03-12T11:25:54,2025-03-12T11:25:00,,,,,,,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,cod_predisinfection_mgPerLiter,operator,source
2025-03-12T11:29:45,2025-03-12T10:00:00,99.0,98.0,88.0,1.5,150.0,CB,web-post-Python-FastAPI
timestamp_entry_ISO,timestamp_intended_ISO,influent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,cod_predisinfection_mgPerLiter,operator,source
